name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
lagos,2019-05-04,89.6,73.4,80.8,105.2,73.4,86.8,76,86.1,1.102,100,4.17,rain,0,0,17,15,204.8,1011.5,60.3,5.3,134.4,11.4,4,,2019-05-04T06:32:23,2019-05-04T18:54:12,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"DNMM,65201099999"
lagos,2019-05-05,93.2,77,84.8,109.8,77,94.2,77.7,80.8,0,0,0,,0,0,19.5,16.1,211.5,1011.4,41,5.8,255.2,21.9,9,,2019-05-05T06:32:09,2019-05-05T18:54:16,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65202099999,DNMM,65201099999"
lagos,2019-05-06,91.4,78.8,85.6,110.9,78.8,97.8,78.7,80.7,0,0,0,,0,0,19.2,16.1,211.1,1012.1,63.5,6.2,208.4,17.9,7,,2019-05-06T06:31:56,2019-05-06T18:54:20,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,65213099999,65202099999,DNMM,remote,65201099999"
lagos,2019-05-07,92.8,80.9,85.8,110.9,88.6,99.3,79.4,81.7,0.016,100,12.5,rain,0,0,19.2,11.4,220.2,1012.3,70.5,6.2,201.1,17.4,7,,2019-05-07T06:31:43,2019-05-07T18:54:24,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,remote,65201099999"
lagos,2019-05-08,87.5,79.5,83.7,101.6,79.5,94,78.1,83.4,0.052,100,41.67,rain,0,0,20.8,9.6,215,1010.1,68.2,4.8,241.8,20.9,9,,2019-05-08T06:31:31,2019-05-08T18:54:29,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,65213099999,65202099999,remote,65201099999"
lagos,2019-05-09,84.2,73.4,78.7,98.3,73.4,82.6,76.6,93.5,2.874,100,4.17,rain,0,0,38,25.8,200.6,1010.7,53.3,5,215.8,18.4,8,,2019-05-09T06:31:20,2019-05-09T18:54:34,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DNMM,remote,65201099999"
lagos,2019-05-10,91.4,75.2,82.3,110.9,75.2,90.6,77.7,87.1,0,0,0,,0,0,18.3,15,194.8,1010.3,45.1,4.4,242.7,20.9,8,,2019-05-10T06:31:09,2019-05-10T18:54:40,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
lagos,2019-05-11,89.6,78.6,82.4,105.2,78.6,90.1,77.1,84.4,2.055,100,4.17,rain,0,0,16.1,8.1,272.6,1011.4,52.6,5.8,195.1,16.8,7,,2019-05-11T06:30:59,2019-05-11T18:54:46,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,DNMM,remote,65201099999"
lagos,2019-05-12,91.4,78.6,84.4,105.1,78.6,93,76.5,78.2,0,0,0,,0,0,15,10.3,216.5,1011.4,40,5.9,238.1,20.7,8,,2019-05-12T06:30:49,2019-05-12T18:54:52,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
lagos,2019-05-13,81.9,74.8,79.1,89.9,74.8,83.3,75.6,89,0.512,100,4.17,rain,0,0,40.3,26.4,336.4,1010.6,84.8,6,112.7,9.8,5,,2019-05-13T06:30:41,2019-05-13T18:54:59,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"DNMM,remote,65201099999"
lagos,2019-05-14,86.6,79.4,82.2,97.2,79.4,88.8,77,84.8,0.218,100,41.67,rain,0,0,16.8,11.4,181.8,1010.1,73.1,6.2,195.5,16.8,8,,2019-05-14T06:30:33,2019-05-14T18:55:07,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DNMM,remote,65201099999"
lagos,2019-05-15,91.4,75.3,82.3,105.1,75.3,88.8,76.8,83.9,0.433,100,4.17,rain,0,0,21.3,13.9,217.2,1012.4,63.5,5.6,196.1,16.9,8,,2019-05-15T06:30:26,2019-05-15T18:55:15,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,DNMM,remote,65201099999"
lagos,2019-05-16,91.4,73.5,81.7,105.1,73.5,87.3,75.5,82.3,0.748,100,4.17,rain,0,0,18.1,12.7,244.6,1012.9,70.7,6.1,148.8,12.9,6,,2019-05-16T06:30:19,2019-05-16T18:55:23,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,DNMM,remote,65201099999"
lagos,2019-05-17,95,78.8,84.2,110.9,78.8,94.5,78,82.3,0,0,0,,0,0,14.5,10.3,214.6,1012.9,42,5.9,176.6,15.2,7,,2019-05-17T06:30:13,2019-05-17T18:55:32,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
lagos,2019-05-18,93.2,77,84.3,113.5,77,93.7,77.7,81.7,0,0,0,,0,0,15,10.3,220.5,1011.8,47,5.9,237.9,20.7,8,,2019-05-18T06:30:08,2019-05-18T18:55:41,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
lagos,2019-05-19,87.8,78.8,82.6,102.4,78.8,91,77.8,85.6,0,0,0,,0,0,20.6,10.3,219.1,1012.1,69.4,6.1,249,21.5,8,,2019-05-19T06:30:04,2019-05-19T18:55:50,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
lagos,2019-05-20,84.2,73.4,79.5,94.2,73.4,84.1,77.1,92.6,1.26,100,8.33,rain,0,0,17.7,10.3,253.2,1013,49.9,5.7,132.5,11.4,5,,2019-05-20T06:30:00,2019-05-20T18:56:00,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,65201099999"
lagos,2019-05-21,87.8,75.5,81,99.9,75.5,86.5,76.4,86.3,0.004,100,4.17,rain,0,0,11.9,11.4,251.5,1013.2,42.7,6,178.4,15.5,7,,2019-05-21T06:29:57,2019-05-21T18:56:10,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"DNMM,remote,65201099999"
lagos,2019-05-22,91.4,78.6,82.7,105.1,78.6,89.6,76.3,81.6,0,0,0,,0,0,16.6,6.9,220.3,1012.5,57.4,5.5,140.7,12,6,,2019-05-22T06:29:55,2019-05-22T18:56:21,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
