,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
38,"Lagos, Nigeria",2017-08-08,28.0,23.0,25.0,31.9,23.0,25.5,22.9,88.2,0.3,100,8.33,rain,0,0.0,34.9,18.4,239.0,1015.1,61.7,9.0,158.4,13.7,5,,2017-08-08T06:41:05,2017-08-08T19:02:57,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65210099999,65213099999,DNMM,remote,65201099999"
39,"Lagos, Nigeria",2017-08-09,27.0,23.7,25.0,30.1,23.7,25.4,23.3,90.5,0.6,100,12.5,rain,0,0.0,33.8,20.5,236.3,1015.5,69.2,9.2,197.4,16.9,6,,2017-08-09T06:41:06,2017-08-09T19:02:40,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65210099999,DNMM,remote,65201099999"
40,"Lagos, Nigeria",2017-08-10,28.7,24.0,25.8,32.5,24.0,26.8,23.5,87.5,0.2,100,8.33,rain,0,0.0,31.3,22.3,247.9,1015.0,66.3,9.3,160.9,13.7,5,,2017-08-10T06:41:06,2017-08-10T19:02:22,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65210099999,DNMM,remote,65201099999"
41,"Lagos, Nigeria",2017-08-11,29.0,23.8,25.8,32.7,23.8,26.7,23.1,85.6,0.0,0,0.0,,0,0.0,32.8,18.4,261.5,1014.9,65.7,8.5,215.4,18.6,8,,2017-08-11T06:41:05,2017-08-11T19:02:03,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
42,"Lagos, Nigeria",2017-08-12,28.2,23.2,25.9,31.9,23.2,27.2,23.3,85.7,0.0,0,0.0,,0,0.0,35.3,25.9,267.1,1014.3,60.9,9.1,189.2,16.3,8,,2017-08-12T06:41:04,2017-08-12T19:01:44,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
43,"Lagos, Nigeria",2017-08-13,28.2,24.9,26.2,32.4,24.9,27.5,23.6,85.7,0.0,0,0.0,,0,0.0,37.4,24.1,241.3,1013.6,60.2,9.8,178.9,15.4,7,,2017-08-13T06:41:02,2017-08-13T19:01:24,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,65213099999,DNMM,65201099999"
44,"Lagos, Nigeria",2017-08-14,27.8,24.8,25.7,31.0,24.8,26.4,23.6,88.0,2.0,100,16.67,rain,0,0.0,35.6,24.1,249.0,1012.7,80.6,9.5,135.3,11.8,5,,2017-08-14T06:41:00,2017-08-14T19:01:04,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,remote,65201099999"
45,"Lagos, Nigeria",2017-08-15,29.6,24.8,25.9,34.3,24.8,26.6,23.5,87.0,1.6,100,41.67,rain,0,0.0,34.9,27.7,233.9,1013.2,90.6,9.2,185.7,16.1,6,,2017-08-15T06:40:58,2017-08-15T19:00:43,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"65210099999,65213099999,remote,65201099999"
46,"Lagos, Nigeria",2017-08-16,28.0,24.0,25.6,31.3,24.0,26.1,23.4,88.2,0.7,100,16.67,rain,0,0.0,39.6,22.3,256.4,1013.1,81.1,7.6,118.6,10.3,4,,2017-08-16T06:40:55,2017-08-16T19:00:21,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,65213099999,DNMM,remote,65201099999"
47,"Lagos, Nigeria",2017-08-17,26.0,23.0,24.7,26.0,23.0,24.7,23.0,90.2,17.0,100,4.17,rain,0,0.0,34.6,25.2,254.3,1012.1,74.5,8.1,88.5,7.8,3,,2017-08-17T06:40:52,2017-08-17T18:59:59,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,DNMM,remote,65201099999"
48,"Lagos, Nigeria",2017-08-18,28.0,24.0,25.5,31.3,24.0,26.3,23.0,86.3,0.1,100,4.17,rain,0,0.0,37.1,20.5,231.3,1012.1,82.4,9.0,188.3,16.2,7,,2017-08-18T06:40:48,2017-08-18T18:59:36,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,65213099999,DNMM,remote,65201099999"
49,"Lagos, Nigeria",2017-08-19,29.1,22.9,25.2,31.8,22.9,25.4,22.3,84.8,0.8,100,29.17,rain,0,0.0,31.0,14.4,218.7,1013.2,58.3,9.1,223.6,19.1,8,,2017-08-19T06:40:44,2017-08-19T18:59:13,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DNMM,remote,65201099999"
50,"Lagos, Nigeria",2017-08-20,29.1,23.0,25.3,34.2,23.0,26.0,22.4,84.6,0.2,100,8.33,rain,0,0.0,32.4,20.5,227.2,1014.0,61.3,9.3,176.8,15.2,6,,2017-08-20T06:40:39,2017-08-20T18:58:49,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65210099999,DNMM,remote,65201099999"
51,"Lagos, Nigeria",2017-08-21,27.0,24.0,25.1,29.6,24.0,25.6,22.3,85.1,0.8,100,20.83,rain,0,0.0,37.4,25.9,246.6,1013.8,66.9,9.7,130.2,11.0,5,,2017-08-21T06:40:34,2017-08-21T18:58:24,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65210099999,DNMM,remote,65201099999"
52,"Lagos, Nigeria",2017-08-22,29.0,23.0,25.3,32.0,23.0,25.9,22.1,83.3,0.0,0,0.0,,0,0.0,43.9,22.3,255.8,1014.3,58.4,9.3,172.1,14.8,7,,2017-08-22T06:40:29,2017-08-22T18:58:00,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
53,"Lagos, Nigeria",2017-08-23,29.0,23.0,25.4,32.0,23.0,26.2,22.2,83.2,0.0,0,0.0,,0,0.0,35.3,16.5,237.1,1013.8,58.5,9.8,223.5,19.4,8,,2017-08-23T06:40:23,2017-08-23T18:57:34,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,65213099999,DNMM,remote,65201099999"
